http://192.168.0.91/app/kibana#/dev_tools/console?_g=()
GET /_cat/indices?v

health status index                 uuid                   pri rep docs.count docs.deleted store.size pri.store.size
green  open   netflow-v9-2016.07.10 GHXuIAL9SH2lXIfWaKZEUQ   1   0      11319            0      1.2mb          1.2mb
green  open   snort-2017.09.10      6jkBfy9ZQjSNrR5t-xFpwQ   1   0       1320            0      9.3mb          9.3mb
yellow open   netflow-v9-2018.06.20 FPk9FkdVTYGpx2guC7rnaA   5   1      14214            0      3.8mb          3.8mb
green  open   openvas-2017.03.22    29BMjM1iTGiSLMtQ9eu2sg   5   0          1            0    102.9kb        102.9kb
green  open   snort-2017.11.17      JT_-Enr-SvO6FpKSoffiKw   1   0       2010            0      6.6mb          6.6mb
green  open   netflow-v9-2016.08.31 Uugu6e0cRYKoUzST_eIC7A   1   0         53            0     76.3kb         76.3kb
green  open   snort-2017.12.13      CS2TiNoOQLyZMP9VUgfO2A   1   0      11238            0     50.4mb         50.4mb
green  open   netflow-v9-2017.11.01 90ZYniAcS9654pIU9KVJSA   5   0      28740            0      6.1mb          6.1mb
yellow open   bro-2018.07.05        JLgAJh8OQbKshxVmrEXGWQ   5   1      79590            0     46.3mb         46.3mb
green  open   netflow-v5-2018.06.16 LfkdsY54SiuoCt5zeST6lA   1   0        317            0    110.9kb        110.9kb
green  open   netflow-v9-2016.07.06 D_i666CuQtiE6J2neMSrWA   1   0      16128            0      1.6mb          1.6mb
green  open   netflow-v9-2016.07.05 pB_OqU4PStmEdUxiDXcM9A   1   0       4752            0    515.9kb        515.9kb
green  open   snort-2018.06.13      4tYSfqI3Rh-CjzR4BS1JeQ   1   0        856            0      4.1mb          4.1mb
yellow open   netflow-v9-2018.07.08 w3lxu8ROSdCNTQ-4oR2CGw   5   1      12183            0      3.2mb          3.2mb
green  open   snort-2017.11.20      hgbY3wSWQ9qbaGWiLDLMLg   1   0        956            0      2.1mb          2.1mb
